flag,ok
invgroups,groupName
Assault Frigate,突击护卫舰
Attack Battlecruiser,攻击战列巡洋舰
Battleship,战列舰
Black Ops,黑隐特勤舰
Blockade Runner,偷运舰
Capital Industrial Ship,旗舰级工业舰
Carrier,航空母舰
Citadel,堡垒
Combat Battlecruiser,战斗战列巡洋舰
Combat Recon Ship,战斗侦察舰
Command Destroyer,指挥驱逐舰
Command Ship,指挥舰
Corvette,新手船
Covert Ops,隐形特勤舰
Cruiser,巡洋舰
Deep Space Transport,强运舰
Destroyer,驱逐舰
Dreadnought,无畏舰
Electronic Attack Ship,电子攻击护卫舰
Engineering Complex,综合工业站
Exhumer,采掘者
Expedition Frigate,勘探护卫舰
Force Auxiliary,战力辅助舰
Force Recon Ship,力场侦察舰
Freighter,货舰
Frigate,护卫舰
Heavy Assault Cruiser,重型突击巡洋舰
Heavy Interdiction Cruiser,重型拦截巡洋舰
Industrial,工业舰
Industrial Command Ship,工业指挥舰
Interceptor,截击舰
Interdictor,拦截舰
Jump Freighter,战略货舰
Logistics,后勤舰
Logistics Frigate,后勤护卫舰
Marauder,掠夺舰
Mining Barge,采矿驳船
Shuttle,穿梭机
Stealth Bomber,隐形轰炸机
Strategic Cruiser,战略巡洋舰
Supercarrier,超级航母
Tactical Destroyer,战术驱逐舰
Titan,泰坦
