flag,ok
invmarketgroups,marketGroupName
# Normal #
Extra Large,超大型
Large,大型
Medium,中型
Small,小型
Capital,旗舰
Micro,微型
Heavy,重型
Orbital Strike,轨道轰炸
Amarr,艾玛
Caldari,加达里
Gallente,盖伦特
Minmatar,米玛塔尔
Non-Racial,非种族
ORE,联合矿业
# Ammunition & Charges #
Ammunition & Charges,军火和弹药
Bombs,炸弹
Cap Booster Charges,电容注电装料
Command Burst Charges,指挥脉冲弹药
Armor Command Burst Charges,装甲指挥脉冲弹药
Information Command Burst Charges,信息指挥脉冲弹药
Mining Foreman Burst Charges,开采指挥脉冲弹药
Shield Command Burst Charges,护盾指挥脉冲弹药
Skirmish Command Burst Charges,游击指挥脉冲弹药
Frequency Crystals,频率晶体
Advanced Beam Laser Crystals,高级集束激光晶体
Advanced Pulse Laser Crystals,高级脉冲激光晶体
Faction Crystals,势力晶体
Standard Crystals,标准晶体
Hybrid Charges,混合弹药
Advanced Blaster Charges,高级疾速炮弹药
Advanced Railgun Charges,高级磁轨炮弹药
Faction Charges,势力弹药
Standard Charges,标准弹药
Mining Crystals,采矿晶体
Missiles,导弹
Auto-Targeting,自动锁定
Faction Auto-Targeting,势力自动锁定导弹
Standard Auto-Targeting,标准自动锁定导弹
Cruise Missiles,巡航导弹
Advanced High Damage Cruise Missiles,高级高伤害巡航导弹
Advanced High Precision Cruise Missiles,高级高精度巡航导弹
Faction Cruise Missiles,势力巡航导弹
Standard Cruise Missiles,标准巡航导弹
Defender,反弹道导弹
Heavy Assault Missiles,重型攻击导弹
Advanced Anti-Ship Heavy Assault Missile,高级反舰重型攻击导弹
Advanced Long Range Heavy Assault Missiles,高级远距重型攻击导弹
Faction Heavy Assault Missiles,势力重型攻击导弹
Standard Heavy Assault Missiles,标准重型攻击导弹
Heavy Missiles,重型导弹
Advanced High Damage Heavy Missiles,高级高伤害重型导弹
Advanced High Precision Heavy Missiles,高级高精度重型导弹
Faction Heavy Missiles,势力重型导弹
Standard Heavy Missiles,标准重型导弹
Light Missiles,轻型导弹
Advanced High Damage Light Missiles,高级高伤害轻型导弹
Advanced High Precision Light Missiles,高级高精度轻型导弹
Faction Light Missiles,势力轻型导弹
Standard Light Missiles,标准轻型导弹
Rockets,火箭
Advanced Anti-Ship Rockets,高级反舰火箭
Advanced Long Range Rockets,高级远距火箭
Faction Rockets,势力火箭
Standard Rockets,标准火箭
Structure Anticapital Missiles,建筑反旗舰导弹
Structure Antisubcapital Missiles,建筑反非旗舰导弹
Torpedoes,鱼雷
Advanced Anti-Ship Torpedoes,高级反舰鱼雷
Advanced Long Range Torpedoes,高级远距鱼雷
Faction Torpedoes,势力鱼雷
Standard Torpedoes,标准鱼雷
XL Cruise Missiles,堡垒级巡航导弹
Advanced High Damage XL Cruise Missiles,高级高伤害超大型巡航导弹
Advanced High Precision XL Cruise Missiles,高级高精度超大型巡航导弹
Faction XL Cruise Missiles,势力堡垒级巡航导弹
Standard XL Cruise Missiles,标准堡垒级巡航导弹
XL Torpedoes,堡垒级鱼雷
Advanced Anti-Ship XL Torpedoes,高级反舰超大型鱼雷
Advanced Long Range XL Torpedoes,高级远距超大型鱼雷
Faction XL Torpedoes,势力堡垒级鱼雷
Standard XL Torpedoes,标准堡垒级鱼雷
Nanite Repair Paste,纳米体修复粘合剂
Probes,探针
Interdiction Probes,拦截探针
Scan Probes,扫描探针
Survey Probes,测量探针
Projectile Ammo,射弹弹药
Advanced Artillery Ammo,高级火炮弹药
Advanced Autocannon Ammo,高级自动加农炮弹药
Faction Ammo,势力弹药
Standard Ammo,标准弹药
Scripts,脚本
Structure Guided Bombs,建筑制导炸弹
# Drones #
Drones,无人机
Combat Drones,战斗无人机
Heavy Attack Drones,重型攻击无人机
Light Scout Drones,轻型侦察无人机
Medium Scout Drones,中型侦察无人机
Sentry Drones,岗哨无人机
Combat Utility Drones,特殊战斗无人机
Electronic Warfare Drones,电子战无人机
Fighters,铁骑舰载机
Heavy Fighters,重型铁骑舰载机
Light Fighters,轻型铁骑舰载机
Support Fighters,后勤铁骑舰载机
Logistic Drones,后勤无人机
Mining Drones,采矿无人机
Salvage Drones,打捞无人机
# Implants & Boosters #
Implants & Boosters,植入体和增效剂
Booster,增效剂
Implants,植入体
Attribute Enhancers,属性增强
Skill Hardwiring,技能增强
Armor Implants,装甲植入体
Electronic Systems Implants,电子系统植入体
Engineering Implants,工程植入体
Faction Omega Implants,势力欧米伽植入体
Gunnery Implants,射击植入体
Industry Implants,工业植入体
Leadership Implants,领导植入体
Missile Implants,导弹植入体
Navigation Implants,导航植入体
Neural Enhancement Implants,神经增强植入体
Resource Processing Implants,资源加工植入体
Scanning Implants,扫描植入体
Science Implants,科学植入体
Shield Implants,护盾植入体
Targeting Implants,锁定系统植入体
# Ship Equipment #
Ship Equipment,舰船装备
Drone Upgrades,无人机升级模块
Electronic Warfare,电子战
Burst Projectors,脉冲波投射器
ECM Bursts,ECM 脉冲波
Electronic Counter Measures,ECM
Gravimetric Jammers,引力计干扰器
Ladar Jammers,光雷达干扰器
Magnetometric Jammers,磁力计干扰器
Multi Spectrum Jammers,多谱干扰器
Radar Jammers,雷达干扰器
Signal Distortion Amplifier,信号畸变放大器
Interdiction Sphere Launchers,拦截泡发射器
Remote Sensor Dampeners,远程感应抑阻器
Stasis Grapplers,停滞捕捉光束
Stasis Webifiers,停滞缠绕光束
Target Breaker,目标锁定扰断装置
